20 Creating 50 consumers
Case:9, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-162.432305634 ,Running:228.60482502 
Case:49, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-133.81105038 ,Running:271.774945974 
Case:39, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-120.359884381 ,Running:274.220406055 
Case:2, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-106.784493245 ,Running:285.653842926 
Case:16, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-126.039884826 ,Running:301.875887871 
Case:40, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-142.635284242 ,Running:310.538977861 
Case:48, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-199.224610773 ,Running:316.282840014 
>>VaryingAtt: 20 0.96 0.92 120.77n
40 Creating 50 consumers
Case:1, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-153.464906777 ,Running:99.4621999264 
Case:11, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-174.121603587 ,Running:120.04312706 
Case:30, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-124.77600622 ,Running:120.300669193 
Case:47, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-130.893489526 ,Running:114.115744829 
Case:38, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-135.049620174 ,Running:124.436403036 
Case:44, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-173.870991605 ,Running:126.195849895 
Case:36, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-181.021655839 ,Running:134.182494879 
