(30, 100) Creating 50 consumers
File not exist..
Case:46, Node:[1.0, 0.9777777777777777, 0.9887640449438202] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-262.695875222 ,Running:758.228965044 
Case:15, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-192.982046543 ,Running:1054.02738214 
Case:30, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-207.788919414 ,Running:1018.91771388 
Case:13, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-133.83551225 ,Running:1127.28504014 
Case:40, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-166.084876214 ,Running:991.035911083 
Case:10, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-276.196640515 ,Running:1370.71500111 
VaryingClusterSize: cluster size:30 - 100 avg_node_fm:1.00   avg_feat_fm0.95 avg_runtime:504.64
(30, 150) Creating 50 consumers
File not exist..
Case:10, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-321.493122282 ,Running:295.453427076 
Case:7, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-669.918741707 ,Running:312.729327917 
Case:12, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-440.350651405 ,Running:312.249636889 
Case:11, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-654.830938602 ,Running:338.73557806 
Case:3, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-691.901248017 ,Running:384.534044981 
Case:5, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-489.251952239 ,Running:385.179792166 
Case:15, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-465.084405312 ,Running:391.760612011 
Case:13, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-229.835045189 ,Running:419.09871912 
Case:20, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-298.00330322 ,Running:390.566468 
Case:16, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-261.12017215 ,Running:435.593473911 
Case:8, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-819.828707159 ,Running:484.117719889 
Case:22, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-590.109898557 ,Running:423.513665199 
Case:0, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-935.596792816 ,Running:527.160320044 
Case:21, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-539.996114568 ,Running:457.147899151 
Case:26, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.6, 0.7499999999999999] ,Func_value:-504.810194702 ,Running:434.369235992 
Case:29, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-461.588527357 ,Running:437.644583941 
Case:28, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-772.928757729 ,Running:445.798625946 
Case:24, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-587.101627641 ,Running:496.448632002 
Case:18, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-199.285930779 ,Running:579.129431009 
Case:25, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-591.172627425 ,Running:558.553761005 
Case:43, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-202.059738279 ,Running:429.559288979 
Case:31, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-655.937111437 ,Running:531.047729969 
Case:27, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-888.545839209 ,Running:576.066225052 
Case:42, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-451.8518424 ,Running:462.556417942 
Case:30, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-547.213446281 ,Running:562.712769985 
Case:41, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-328.490333568 ,Running:490.253846169 
Case:37, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-500.205108132 ,Running:526.146334887 
Case:23, Node:[1.0, 0.9830508474576272, 0.9914529914529915] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-281.801653441 ,Running:629.989398003 
Case:17, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-173.731773937 ,Running:676.789849997 
Case:39, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-349.625338591 ,Running:519.496221066 
Case:44, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-270.303984667 ,Running:510.890692949 
Case:48, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-402.157981134 ,Running:476.520679951 
Case:2, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-618.777403274 ,Running:868.728259087 
Case:35, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-890.303580745 ,Running:777.379328012 
